Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
38,75,65,3,0,58.46,7,caught,1,v England,Cape Town,09-Jan-96,ODI # 1033
29,51,35,2,1,82.85,4,caught,1,v England,Bloemfontein,11-Jan-96,ODI # 1034
16,51,49,0,0,32.65,5,run out,2,v England,Johannesburg,13-Jan-96,ODI # 1036
14*,15,13,2,0,107.69,5,not out,2,v England,Centurion,14-Jan-96,ODI # 1038
67,138,107,6,0,62.61,4,caught,2,v England,Durban,17-Jan-96,ODI # 1040
0,1,3,0,0,0,4,lbw,1,v England,East London,19-Jan-96,ODI # 1042
2,6,9,0,0,22.22,6,run out,1,v England,Port Elizabeth,21-Jan-96,ODI # 1044
DNB,-,-,-,-,-,-,-,1,v U.A.E.,Rawalpindi,16-Feb-96,ODI # 1049
11*,35,25,1,0,44,5,not out,2,v New Zealand,Faisalabad,20-Feb-96,ODI # 1054
26,59,42,2,0,61.9,5,caught,1,v England,Rawalpindi,25-Feb-96,ODI # 1060
9,11,14,0,0,64.28,5,caught,2,v Pakistan,Karachi,29-Feb-96,ODI # 1067
17*,17,16,0,0,106.25,5,not out,1,v Netherlands,Rawalpindi,05-Mar-96,ODI # 1073
24*,50,38,2,0,63.15,4,not out,2,v Pakistan,Sharjah,16-Apr-96,ODI # 1099
22,52,32,2,0,68.75,2,run out,2,v India,Sharjah,17-Apr-96,ODI # 1100
79,174,127,8,0,62.2,3,caught,2,v India,Port Elizabeth,02-Feb-97,ODI # 1172
52*,82,58,4,0,89.65,4,not out,2,v India,East London,04-Feb-97,ODI # 1173
8*,36,22,1,0,36.36,3,not out,2,v India,Durban,12-Feb-97,ODI # 1176
49,70,58,4,0,84.48,3,lbw,1,v India,Durban,13-Feb-97,ODI # 1177
63,120,76,4,0,82.89,3,stumped,2,v Australia,East London,29-Mar-97,ODI # 1186
82,180,119,5,1,68.9,3,bowled,1,v Australia,Port Elizabeth,31-Mar-97,ODI # 1187
23,64,38,1,0,60.52,3,bowled,1,v Australia,Cape Town,02-Apr-97,ODI # 1188
1,17,4,0,0,25,4,run out,2,v Australia,Durban,05-Apr-97,ODI # 1191
55,107,67,2,3,82.08,5,caught,2,v Australia,Johannesburg,08-Apr-97,ODI # 1195
3,6,6,0,0,50,5,stumped,1,v Australia,Centurion,10-Apr-97,ODI # 1197
10,21,15,0,0,66.66,6,bowled,1,v Australia,Bloemfontein,13-Apr-97,ODI # 1199
8,38,22,0,0,36.36,2,caught,1,v Australia,Sydney,04-Dec-97,ODI # 1254
14,17,18,2,0,77.77,2,caught,2,v New Zealand,Adelaide,06-Dec-97,ODI # 1255
27,76,58,0,0,46.55,5,stumped,1,v Australia,Melbourne,09-Dec-97,ODI # 1257
45,83,82,0,0,54.87,6,caught,1,v New Zealand,Hobart,11-Dec-97,ODI # 1258
31,43,40,1,1,77.5,3,caught,1,v New Zealand,Brisbane,09-Jan-98,ODI # 1270
47,86,55,5,1,85.45,4,lbw,2,v Australia,Brisbane,11-Jan-98,ODI # 1272
111,151,140,10,0,79.28,3,caught,1,v New Zealand,Perth,16-Jan-98,ODI # 1278
38,58,60,5,1,63.33,3,caught,2,v Australia,Perth,18-Jan-98,ODI # 1280
33,64,44,1,0,75,4,caught,1,v Australia,Melbourne,23-Jan-98,ODI # 1283
10,22,27,0,0,37.03,4,caught,1,v Australia,Sydney,26-Jan-98,ODI # 1285
14,36,21,0,0,66.66,3,hit wicket,2,v Australia,Sydney,27-Jan-98,ODI # 1287
109*,160,114,8,0,95.61,5,not out,1,v Pakistan,Durban,03-Apr-98,ODI # 1303
5,15,12,0,0,41.66,6,caught,1,v Sri Lanka,Johannesburg,05-Apr-98,ODI # 1306
6,20,15,0,0,40,2,bowled,2,v Pakistan,East London,11-Apr-98,ODI # 1314
1,3,2,0,0,50,8,lbw,1,v Sri Lanka,Port Elizabeth,13-Apr-98,ODI # 1315
79*,128,122,6,2,64.75,3,not out,2,v Pakistan,Centurion,17-Apr-98,ODI # 1318
39,71,51,4,1,76.47,3,caught,2,v Sri Lanka,Bloemfontein,19-Apr-98,ODI # 1321
28*,65,60,3,0,46.66,3,not out,2,v Pakistan,Cape Town,23-Apr-98,ODI # 1326
62,124,91,4,1,68.13,3,caught,2,v England,The Oval,21-May-98,ODI # 1331
9,15,15,1,0,60,3,caught,1,v England,Manchester,23-May-98,ODI # 1332
1,5,4,0,0,25,3,run out,1,v England,Leeds,24-May-98,ODI # 1334
6,17,16,0,0,37.5,3,caught,2,v Sri Lanka,Nottingham,14-Aug-98,ODI # 1345
19,38,35,1,0,54.28,6,bowled,1,v England,Birmingham,18-Aug-98,ODI # 1347
14,22,21,1,0,66.66,3,run out,2,v England,Dhaka,25-Oct-98,ODI # 1358
113*,107,100,5,5,113,5,not out,1,v Sri Lanka,Dhaka,30-Oct-98,ODI # 1362
37,45,51,4,1,72.54,4,caught,2,v West Indies,Dhaka,01-Nov-98,ODI # 1364
9,37,23,1,0,39.13,3,caught,2,v West Indies,Johannesburg,22-Jan-99,ODI # 1390
51,95,66,7,0,77.27,4,caught,2,v West Indies,East London,24-Jan-99,ODI # 1393
24,42,32,3,0,75,4,bowled,1,v West Indies,Durban,27-Jan-99,ODI # 1395
2,16,12,0,0,16.66,3,bowled,1,v West Indies,Port Elizabeth,30-Jan-99,ODI # 1397
16,52,32,1,0,50,3,lbw,1,v West Indies,Cape Town,02-Feb-99,ODI # 1399
30,49,41,2,0,73.17,5,caught,1,v West Indies,Bloemfontein,05-Feb-99,ODI # 1402
66,125,94,5,0,70.21,4,caught,1,v West Indies,Centurion,07-Feb-99,ODI # 1404
100,171,117,10,1,85.47,3,caught,1,v New Zealand,Dunedin,14-Feb-99,ODI # 1407
53,85,66,6,1,80.3,4,lbw,2,v New Zealand,Christchurch,17-Feb-99,ODI # 1408
12,37,19,2,0,63.15,4,run out,1,v New Zealand,Auckland,20-Feb-99,ODI # 1409
DNB,-,-,-,-,-,-,-,2,v New Zealand,Napier,25-Mar-99,ODI # 1419
4,25,16,0,0,25,3,caught,2,v New Zealand,Napier,26-Mar-99,ODI # 1421
100,177,125,8,1,80,4,bowled,1,v New Zealand,Auckland,27-Mar-99,ODI # 1422
54,100,89,5,0,60.67,3,bowled,1,v New Zealand,Wellington,30-Mar-99,ODI # 1425
96,178,128,7,0,75,4,run out,2,v India,Hove,15-May-99,ODI # 1444
12,42,26,0,0,46.15,4,caught,1,v Sri Lanka,Northampton,19-May-99,ODI # 1451
0,10,5,0,0,0,3,bowled,1,v England,The Oval,22-May-99,ODI # 1455
44*,100,81,4,1,54.32,4,not out,2,v Kenya,Amstelveen,26-May-99,ODI # 1462
0,9,4,0,0,0,4,caught,2,v Zimbabwe,Chelmsford,29-May-99,ODI # 1468
