Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
4,11,5,0,0,80,8,lbw,1,vÿSri Lanka,Colombo (RPS),20-Aug-04,ODI # 2156
22,53,45,0,0,48.88,8,lbw,2,vÿSri Lanka,Colombo (RPS),22-Aug-04,ODI # 2158
3,8,3,0,0,100,8,lbw,1,vÿSri Lanka,Dambulla,25-Aug-04,ODI # 2160
0,3,2,0,0,0,6,lbw,1,vÿSri Lanka,Dambulla,28-Aug-04,ODI # 2161
0,2,1,0,0,0,7,caught,2,vÿSri Lanka,Colombo (SSC),31-Aug-04,ODI # 2163
60,92,70,7,0,85.71,5,stumped,2,vÿZimbabwe,Bloemfontein,15-Sep-06,ODI # 2415
31*,70,39,2,0,79.48,5,not out,2,vÿZimbabwe,East London,18-Sep-06,ODI # 2418
24*,30,18,2,0,133.33,7,not out,1,vÿZimbabwe,Potchefstroom,20-Sep-06,ODI # 2420
DNB,-,-,-,-,-,-,-,1,vÿIreland,Belfast,24-Jun-07,ODI # 2591
11,11,15,2,0,73.33,5,caught,2,vÿIndia,Belfast,26-Jun-07,ODI # 2592
40,76,59,3,0,67.79,5,caught,1,vÿIndia,Belfast,29-Jun-07,ODI # 2593
0,2,1,0,0,0,5,lbw,1,vÿIndia,Belfast,01-Jul-07,ODI # 2595
3,10,9,0,0,33.33,5,lbw,2,vÿZimbabwe,Bulawayo,22-Aug-07,ODI # 2612
24*,60,31,3,0,77.41,3,not out,2,vÿZimbabwe,Harare,25-Aug-07,ODI # 2614
6,10,8,0,0,75,8,caught,1,vÿZimbabwe,Harare,26-Aug-07,ODI # 2615
DNB,-,-,-,-,-,-,-,2,vÿPakistan,Multan,26-Oct-07,ODI # 2639
44,54,64,3,1,68.75,5,caught,1,vÿPakistan,Lahore,29-Oct-07,ODI # 2642
46,85,59,3,1,77.96,5,caught,2,vÿNew Zealand,Durban,25-Nov-07,ODI # 2648
23,48,32,3,0,71.87,5,caught,1,vÿNew Zealand,Port Elizabeth,30-Nov-07,ODI # 2650
1,5,6,0,0,16.66,5,caught,2,vÿNew Zealand,Cape Town,02-Dec-07,ODI # 2652
79*,148,88,9,1,89.77,4,not out,2,vÿWest Indies,Centurion,20-Jan-08,ODI # 2661
68,94,81,4,1,83.95,5,run out,1,vÿWest Indies,Cape Town,25-Jan-08,ODI # 2664
36*,71,50,1,1,72,5,not out,2,vÿWest Indies,Port Elizabeth,27-Jan-08,ODI # 2666
44,81,60,4,0,73.33,5,caught,2,vÿWest Indies,Durban,01-Feb-08,ODI # 2668
DNB,-,-,-,-,-,-,-,2,vÿWest Indies,Johannesburg,03-Feb-08,ODI # 2671
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Chattogram,09-Mar-08,ODI # 2690
49*,122,93,1,0,52.68,5,not out,2,vÿBangladesh,Dhaka,12-Mar-08,ODI # 2691
0*,5,4,0,0,0,5,not out,2,vÿBangladesh,Dhaka,14-Mar-08,ODI # 2692
18,48,33,0,0,54.54,5,caught,2,vÿEngland,Leeds,22-Aug-08,ODI # 2748
8,6,3,2,0,266.66,5,caught,1,vÿEngland,Nottingham,26-Aug-08,ODI # 2754
18,61,33,1,0,54.54,5,caught,2,vÿEngland,The Oval,29-Aug-08,ODI # 2757
20,26,18,2,1,111.11,5,caught,1,vÿEngland,Lord's,31-Aug-08,ODI # 2759
DNB,-,-,-,-,-,-,-,1,vÿEngland,Cardiff,03-Sep-08,ODI # 2761
90,116,88,8,0,102.27,5,caught,1,vÿKenya,Bloemfontein,31-Oct-08,ODI # 2769
10*,33,19,0,0,52.63,5,not out,2,vÿKenya,Kimberley,02-Nov-08,ODI # 2770
36,60,39,4,0,92.3,5,lbw,1,vÿBangladesh,Potchefstroom,07-Nov-08,ODI # 2771
DNB,-,-,-,-,-,-,-,1,vÿBangladesh,Benoni,09-Nov-08,ODI # 2772
71,131,93,0,0,76.34,4,caught,2,vÿAustralia,Melbourne,16-Jan-09,ODI # 2795
35,57,34,3,0,102.94,5,run out,2,vÿAustralia,Hobart,18-Jan-09,ODI # 2796
9,27,23,1,0,39.13,5,bowled,2,vÿAustralia,Sydney,23-Jan-09,ODI # 2802
DNB,-,-,-,-,-,-,-,2,vÿAustralia,Adelaide,26-Jan-09,ODI # 2804
60*,64,42,3,3,142.85,5,not out,1,vÿAustralia,Perth,30-Jan-09,ODI # 2808
15,36,33,0,0,45.45,5,caught,2,vÿAustralia,Durban,03-Apr-09,ODI # 2832
11*,25,19,1,0,57.89,5,not out,2,vÿAustralia,Centurion,05-Apr-09,ODI # 2834
32,40,26,2,1,123.07,5,caught,1,vÿAustralia,Cape Town,09-Apr-09,ODI # 2839
40,32,25,4,0,160,7,caught,1,vÿAustralia,Port Elizabeth,13-Apr-09,ODI # 2840
3,8,8,0,0,37.5,5,caught,2,vÿAustralia,Johannesburg,17-Apr-09,ODI # 2841
0,1,1,0,0,0,5,bowled,2,vÿSri Lanka,Centurion,22-Sep-09,ODI # 2893
11,16,13,2,0,84.61,5,caught,2,vÿNew Zealand,Centurion,24-Sep-09,ODI # 2895
24,47,33,1,0,72.72,5,bowled,2,vÿEngland,Centurion,27-Sep-09,ODI # 2900
111*,126,87,9,2,127.58,4,not out,1,vÿZimbabwe,Centurion,10-Nov-09,ODI # 2928
41,64,47,5,1,87.23,4,caught,1,vÿEngland,Centurion,22-Nov-09,ODI # 2929
6,21,15,0,0,40,4,caught,1,vÿEngland,Cape Town,27-Nov-09,ODI # 2930
6,14,10,1,0,60,4,caught,1,vÿEngland,Port Elizabeth,29-Nov-09,ODI # 2931
0,2,1,0,0,0,7,lbw,2,vÿIndia,Gwalior,24-Feb-10,ODI # 2962
15,45,27,0,1,55.55,5,bowled,1,vÿWest Indies,North Sound,22-May-10,ODI # 2979
32*,-,38,1,0,84.21,5,not out,2,vÿWest Indies,Roseau,30-May-10,ODI # 2984
51,-,75,1,0,68,5,bowled,2,vÿWest Indies,Port of Spain,03-Jun-10,ODI # 2987
6*,13,4,0,0,150,7,not out,1,vÿZimbabwe,Bloemfontein,15-Oct-10,ODI # 3057
15*,29,18,1,0,83.33,4,not out,2,vÿZimbabwe,Potchefstroom,17-Oct-10,ODI # 3059
129,152,117,7,4,110.25,3,caught,1,vÿZimbabwe,Benoni,22-Oct-10,ODI # 3061
10*,50,29,0,0,34.48,5,not out,2,vÿPakistan,Abu Dhabi,29-Oct-10,ODI # 3062
54,58,43,3,1,125.58,5,caught,1,vÿPakistan,Abu Dhabi,31-Oct-10,ODI # 3063
26,35,38,0,0,68.42,5,caught,1,vÿPakistan,Dubai (DSC),02-Nov-10,ODI # 3064
36,-,51,1,0,70.58,5,bowled,1,vÿPakistan,Dubai (DSC),05-Nov-10,ODI # 3067
59*,-,41,8,0,143.9,5,not out,1,vÿPakistan,Dubai (DSC),08-Nov-10,ODI # 3069
73,110,89,1,1,82.02,5,lbw,1,vÿIndia,Durban,12-Jan-11,ODI # 3079
13,38,19,1,0,68.42,5,caught,2,vÿIndia,Johannesburg,15-Jan-11,ODI # 3080
52,111,59,2,0,88.13,5,bowled,1,vÿIndia,Cape Town,18-Jan-11,ODI # 3082
71*,124,72,2,1,98.61,5,not out,1,vÿIndia,Port Elizabeth,21-Jan-11,ODI # 3084
35,65,44,1,0,79.54,5,caught,1,vÿIndia,Centurion,23-Jan-11,ODI # 3087
42*,54,53,1,0,79.24,5,not out,2,vÿWest Indies,Delhi,24-Feb-11,ODI # 3106
40,18,15,2,4,266.66,6,caught,1,vÿNetherlands,Mohali,03-Mar-11,ODI # 3115
0,12,4,0,0,0,6,bowled,2,vÿEngland,Chennai,06-Mar-11,ODI # 3120
23,40,20,2,1,115,5,stumped,2,vÿIndia,Nagpur,12-Mar-11,ODI # 3128
99,139,103,6,1,96.11,5,caught,1,vÿIreland,Kolkata,15-Mar-11,ODI # 3133
17,26,22,1,0,77.27,4,caught,1,vÿBangladesh,Dhaka,19-Mar-11,ODI # 3138
3,18,12,0,0,25,5,bowled,2,vÿNew Zealand,Dhaka,25-Mar-11,ODI # 3144
4,4,2,1,0,200,4,caught,2,vÿAustralia,Centurion,19-Oct-11,ODI # 3203
56,100,58,2,2,96.55,4,caught,1,vÿAustralia,Port Elizabeth,23-Oct-11,ODI # 3208
35,92,58,1,0,60.34,4,caught,1,vÿAustralia,Durban,28-Oct-11,ODI # 3211
1,6,2,0,0,50,6,caught,1,vÿSri Lanka,Paarl,11-Jan-12,ODI # 3225
66*,127,87,0,1,75.86,4,not out,2,vÿSri Lanka,East London,14-Jan-12,ODI # 3226
