Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
35,65,55,4,0,63.63,5,run out,2,vÿPakistan,Galle,05-Jul-00,ODI # 1603
85,144,116,11,0,73.27,5,run out,1,vÿSouth Africa,Galle,06-Jul-00,ODI # 1604
36*,66,47,3,0,76.59,5,not out,2,vÿPakistan,Colombo (RPS),09-Jul-00,ODI # 1608
DNB,-,-,-,-,-,-,-,2,vÿSouth Africa,Colombo (SSC),11-Jul-00,ODI # 1610
43,62,49,2,1,87.75,5,caught,1,vÿSouth Africa,Colombo (RPS),14-Jul-00,ODI # 1614
2,5,6,0,0,33.33,5,run out,1,vÿWest Indies,Nairobi (Gym),04-Oct-00,ODI # 1631
19,44,34,2,0,55.88,5,bowled,1,vÿPakistan,Nairobi (Gym),08-Oct-00,ODI # 1634
40*,-,64,4,0,62.5,5,not out,2,vÿIndia,Sharjah,20-Oct-00,ODI # 1640
15*,-,23,2,0,65.21,5,not out,2,vÿZimbabwe,Sharjah,21-Oct-00,ODI # 1642
4,-,18,0,0,22.22,5,bowled,1,vÿZimbabwe,Sharjah,25-Oct-00,ODI # 1646
DNB,-,-,-,-,-,-,-,1,vÿIndia,Sharjah,27-Oct-00,ODI # 1650
8,-,26,0,0,30.76,5,bowled,1,vÿIndia,Sharjah,29-Oct-00,ODI # 1652
84,135,114,8,0,73.68,5,bowled,1,vÿSouth Africa,Port Elizabeth,15-Dec-00,ODI # 1661
11,27,21,1,0,52.38,5,caught,2,vÿSouth Africa,East London,17-Dec-00,ODI # 1662
16*,10,10,2,0,160,6,not out,1,vÿSouth Africa,Paarl,09-Jan-01,ODI # 1666
1,4,2,0,0,50,5,caught,2,vÿSouth Africa,Cape Town,11-Jan-01,ODI # 1668
33,77,52,3,0,63.46,7,caught,1,vÿSouth Africa,Bloemfontein,14-Jan-01,ODI # 1671
22,30,17,3,0,129.41,7,run out,1,vÿSouth Africa,Johannesburg,17-Jan-01,ODI # 1673
12,22,13,1,0,92.3,3,caught,1,vÿNew Zealand,Napier,31-Jan-01,ODI # 1680
13,39,25,1,0,52,3,caught,2,vÿNew Zealand,Wellington,03-Feb-01,ODI # 1682
13*,17,13,3,0,100,3,not out,2,vÿNew Zealand,Auckland,06-Feb-01,ODI # 1684
20,32,23,1,1,86.95,3,caught,2,vÿNew Zealand,Hamilton,08-Feb-01,ODI # 1686
1,5,5,0,0,20,4,lbw,2,vÿNew Zealand,Christchurch,11-Feb-01,ODI # 1688
1,21,15,0,0,6.66,5,caught,2,vÿEngland,Dambulla,23-Mar-01,ODI # 1694
6,17,16,0,0,37.5,5,caught,1,vÿEngland,Colombo (RPS),25-Mar-01,ODI # 1695
DNB,-,-,-,-,-,-,-,2,vÿEngland,Colombo (SSC),27-Mar-01,ODI # 1697
11,-,21,1,0,52.38,5,caught,2,vÿPakistan,Sharjah,08-Apr-01,ODI # 1704
0,-,1,0,0,0,3,caught,1,vÿNew Zealand,Sharjah,10-Apr-01,ODI # 1705
6,-,12,1,0,50,6,lbw,2,vÿNew Zealand,Sharjah,17-Apr-01,ODI # 1710
2,15,6,0,0,33.33,8,run out,1,vÿIndia,Colombo (RPS),28-Jul-01,ODI # 1740
18,49,30,1,0,60,6,bowled,2,vÿIndia,Colombo (SSC),01-Aug-01,ODI # 1742
DNB,-,-,-,-,-,-,-,2,vÿPakistan,Sharjah,27-Oct-01,ODI # 1767
35,51,50,1,0,70,6,bowled,1,vÿZimbabwe,Sharjah,30-Oct-01,ODI # 1769
0,2,3,0,0,0,6,bowled,1,vÿPakistan,Sharjah,02-Nov-01,ODI # 1771
3,19,18,0,0,16.66,6,caught,1,vÿPakistan,Sharjah,04-Nov-01,ODI # 1772
DNB,-,-,-,-,-,-,-,2,vÿZimbabwe,Colombo (SSC),08-Dec-01,ODI # 1776
27,39,31,3,0,87.09,6,caught,2,vÿWest Indies,Colombo (RPS),11-Dec-01,ODI # 1778
1,1,1,0,0,100,7,run out,1,vÿZimbabwe,Colombo (RPS),12-Dec-01,ODI # 1779
DNB,-,-,-,-,-,-,-,2,vÿWest Indies,Kandy,15-Dec-01,ODI # 1780
23,55,49,0,0,46.93,6,caught,1,vÿWest Indies,Colombo (RPS),19-Dec-01,ODI # 1782
10,-,20,1,0,50,2,bowled,1,vÿPakistan,Sharjah,08-Apr-02,ODI # 1825
23,59,41,4,0,56.09,2,caught,2,vÿNew Zealand,Sharjah,09-Apr-02,ODI # 1826
5,15,12,0,0,41.66,3,caught,1,vÿPakistan,Sharjah,12-Apr-02,ODI # 1829
50,96,64,5,1,78.12,3,caught,1,vÿNew Zealand,Sharjah,14-Apr-02,ODI # 1830
18,37,21,3,0,85.71,3,caught,2,vÿPakistan,Sharjah,17-Apr-02,ODI # 1832
22,48,28,2,0,78.57,6,caught,2,vÿEngland,Nottingham,27-Jun-02,ODI # 1847
1*,3,1,0,0,100,9,not out,1,vÿEngland,Leeds,02-Jul-02,ODI # 1850
70,108,79,8,0,88.6,3,lbw,1,vÿEngland,Manchester,07-Jul-02,ODI # 1853
66,58,47,11,1,140.42,3,stumped,2,vÿIndia,Bristol,11-Jul-02,ODI # 1855
29,33,23,6,0,126.08,3,caught,2,vÿBangladesh,Colombo (SSC),04-Aug-02,ODI # 1857
4,13,6,0,0,66.66,3,caught,2,vÿBangladesh,Colombo (SSC),05-Aug-02,ODI # 1858
22,37,32,3,0,68.75,3,bowled,1,vÿBangladesh,Colombo (RPS),07-Aug-02,ODI # 1859
38,63,53,5,0,71.69,3,caught,2,vÿPakistan,Tangier,14-Aug-02,ODI # 1861
41,60,57,5,0,71.92,3,caught,1,vÿSouth Africa,Tangier,15-Aug-02,ODI # 1862
1,15,12,0,0,8.33,3,bowled,1,vÿPakistan,Tangier,17-Aug-02,ODI # 1863
57,124,89,4,0,64.04,3,run out,2,vÿSouth Africa,Tangier,19-Aug-02,ODI # 1865
40,73,54,4,0,74.07,3,caught,1,vÿSouth Africa,Tangier,21-Aug-02,ODI # 1866
0,4,4,0,0,0,3,lbw,2,vÿPakistan,Colombo (RPS),12-Sep-02,ODI # 1874
41,86,68,5,0,60.29,3,bowled,1,vÿNetherlands,Colombo (RPS),16-Sep-02,ODI # 1878
48,85,63,8,0,76.19,3,caught,2,vÿAustralia,Colombo (RPS),27-Sep-02,ODI # 1887
54,122,89,2,0,60.67,3,caught,1,vÿIndia,Colombo (RPS),29-Sep-02,ODI # 1888
26,76,46,3,0,56.52,2,run out,1,vÿIndia,Colombo (RPS),30-Sep-02,ODI # 1889
7,31,24,1,0,29.16,4,caught,1,vÿSouth Africa,Johannesburg,27-Nov-02,ODI # 1903
10,13,10,2,0,100,3,caught,2,vÿSouth Africa,Centurion,29-Nov-02,ODI # 1905
10,31,20,1,0,50,3,caught,2,vÿSouth Africa,Benoni,01-Dec-02,ODI # 1908
1,4,4,0,0,25,3,caught,1,vÿSouth Africa,Kimberley,04-Dec-02,ODI # 1911
77*,179,115,8,1,66.95,5,not out,1,vÿSouth Africa,Bloemfontein,06-Dec-02,ODI # 1912
11,32,13,2,0,84.61,4,caught,2,vÿEngland,Brisbane,17-Dec-02,ODI # 1922
7,28,13,0,0,53.84,4,caught,2,vÿEngland,Perth,20-Dec-02,ODI # 1924
40,84,70,3,0,57.14,6,caught,2,vÿAustralia,Perth,22-Dec-02,ODI # 1925
25,26,20,2,0,125,6,caught,1,vÿAustralia,Sydney,09-Jan-03,ODI # 1931
10,20,15,0,0,66.66,5,caught,1,vÿEngland,Sydney,13-Jan-03,ODI # 1934
42*,73,42,5,0,100,6,not out,1,vÿAustralia,Brisbane,15-Jan-03,ODI # 1936
56,73,66,3,0,84.84,6,caught,2,vÿEngland,Adelaide,17-Jan-03,ODI # 1937
