Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
0,1,1,0,0,0,7,run out,1,v˜Bangladesh,Chattogram,23-Dec-04,ODI # 2199
12,16,11,2,0,109.09,7,caught,2,v˜Bangladesh,Dhaka,26-Dec-04,ODI # 2201
7*,2,2,0,1,350,7,not out,1,v˜Bangladesh,Dhaka,27-Dec-04,ODI # 2202
3,8,7,0,0,42.85,7,caught,1,v˜Pakistan,Kochi,02-Apr-05,ODI # 2235
148,155,123,15,4,120.32,3,caught,1,v˜Pakistan,Visakhapatnam,05-Apr-05,ODI # 2236
28,36,24,5,0,116.66,3,caught,2,v˜Pakistan,Jamshedpur,09-Apr-05,ODI # 2237
47,90,64,4,1,73.43,3,caught,1,v˜Pakistan,Ahmedabad,12-Apr-05,ODI # 2238
11,20,16,1,0,68.75,3,caught,1,v˜Pakistan,Kanpur,15-Apr-05,ODI # 2239
24,71,38,2,0,63.15,3,caught,2,v˜Pakistan,Delhi,17-Apr-05,ODI # 2240
2,17,7,0,0,28.57,2,bowled,1,v˜Sri Lanka,Dambulla,30-Jul-05,ODI # 2262
15*,22,11,1,1,136.36,6,not out,2,v˜West Indies,Dambulla,31-Jul-05,ODI # 2263
20,35,27,1,0,74.07,4,caught,1,v˜Sri Lanka,Dambulla,03-Aug-05,ODI # 2265
28*,17,13,1,2,215.38,7,not out,1,v˜West Indies,Colombo (RPS),07-Aug-05,ODI # 2267
7,11,11,0,0,63.63,6,lbw,2,v˜Sri Lanka,Colombo (RPS),09-Aug-05,ODI # 2268
2,13,5,0,0,40,7,caught,2,v˜New Zealand,Bulawayo,26-Aug-05,ODI # 2273
56,-,46,2,4,121.73,6,caught,1,v˜Zimbabwe,Harare,29-Aug-05,ODI # 2274
37*,-,27,3,2,137.03,6,not out,2,v˜New Zealand,Harare,02-Sep-05,ODI # 2278
67*,90,63,1,3,106.34,7,not out,2,v˜Zimbabwe,Harare,04-Sep-05,ODI # 2280
11,26,16,1,0,68.75,7,lbw,1,v˜New Zealand,Harare,06-Sep-05,ODI # 2281
38,33,28,3,2,135.71,6,caught,1,v˜Sri Lanka,Nagpur,25-Oct-05,ODI # 2286
DNB,-,-,-,-,-,-,-,2,v˜Sri Lanka,Mohali,28-Oct-05,ODI # 2287
183*,210,145,15,10,126.2,3,not out,2,v˜Sri Lanka,Jaipur,31-Oct-05,ODI # 2290
45*,65,43,1,2,104.65,6,not out,2,v˜Sri Lanka,Pune,03-Nov-05,ODI # 2291
0,1,1,0,0,0,3,lbw,1,v˜Sri Lanka,Ahmedabad,06-Nov-05,ODI # 2294
DNB,-,-,-,-,-,-,-,2,v˜Sri Lanka,Rajkot,09-Nov-05,ODI # 2295
80,106,73,9,3,109.58,4,caught,2,v˜Sri Lanka,Vadodara,12-Nov-05,ODI # 2296
17,39,28,1,0,60.71,8,run out,1,v˜South Africa,Hyderabad (Deccan),16-Nov-05,ODI # 2297
DNB,-,-,-,-,-,-,-,2,v˜South Africa,Bengaluru,19-Nov-05,ODI # 2298
14,41,26,0,0,53.84,8,caught,1,v˜South Africa,Kolkata,25-Nov-05,ODI # 2299
12,37,26,1,0,46.15,6,caught,2,v˜South Africa,Mumbai,28-Nov-05,ODI # 2300
68,68,53,11,1,128.3,4,caught,1,v˜Pakistan,Peshawar,06-Feb-06,ODI # 2324
DNB,-,-,-,-,-,-,-,2,v˜Pakistan,Rawalpindi,11-Feb-06,ODI # 2327
72*,60,46,13,0,156.52,7,not out,2,v˜Pakistan,Lahore,13-Feb-06,ODI # 2329
2*,23,5,0,0,40,7,not out,2,v˜Pakistan,Multan,16-Feb-06,ODI # 2331
77*,88,56,6,4,137.5,4,not out,2,v˜Pakistan,Karachi,19-Feb-06,ODI # 2333
20,55,28,2,0,71.42,8,caught,1,v˜England,Delhi,28-Mar-06,ODI # 2357
38,99,55,2,0,69.09,7,bowled,2,v˜England,Faridabad,31-Mar-06,ODI # 2358
13*,11,6,1,1,216.66,7,not out,1,v˜England,Margao,03-Apr-06,ODI # 2359
10*,20,13,1,0,76.92,7,not out,2,v˜England,Kochi,06-Apr-06,ODI # 2360
96,174,106,10,3,90.56,2,caught,1,v˜England,Jamshedpur,12-Apr-06,ODI # 2361
3,11,10,0,0,30,7,bowled,1,v˜Pakistan,Abu Dhabi,18-Apr-06,ODI # 2363
59,80,72,5,0,81.94,3,bowled,1,v˜Pakistan,Abu Dhabi,19-Apr-06,ODI # 2364
18,19,11,2,1,163.63,6,caught,2,v˜West Indies,Kingston,18-May-06,ODI # 2377
2,9,7,0,0,28.57,7,bowled,2,v˜West Indies,Kingston,20-May-06,ODI # 2379
15,-,26,1,0,57.69,5,run out,1,v˜West Indies,Basseterre,23-May-06,ODI # 2380
46*,-,58,6,0,79.31,6,not out,1,v˜West Indies,Port of Spain,26-May-06,ODI # 2381
14,-,19,2,0,73.68,3,bowled,2,v˜West Indies,Port of Spain,28-May-06,ODI # 2382
DNB,-,-,-,-,-,-,-,1,v˜Sri Lanka,Colombo (SSC),18-Aug-06,ODI # 2405
2,7,10,0,0,20,5,bowled,1,v˜West Indies,Kuala Lumpur,14-Sep-06,ODI # 2414
DNB,-,-,-,-,-,-,-,2,v˜Australia,Kuala Lumpur,16-Sep-06,ODI # 2416
18,20,13,4,0,138.46,6,bowled,1,v˜West Indies,Kuala Lumpur,20-Sep-06,ODI # 2419
23,34,34,0,1,67.64,7,caught,2,v˜Australia,Kuala Lumpur,22-Sep-06,ODI # 2421
7,37,22,0,0,31.81,6,caught,2,v˜England,Jaipur,15-Oct-06,ODI # 2429
51,82,65,1,2,78.46,6,run out,1,v˜West Indies,Ahmedabad,26-Oct-06,ODI # 2437
28,44,23,2,0,121.73,6,lbw,1,v˜Australia,Mohali,29-Oct-06,ODI # 2440
14,32,27,3,0,51.85,5,caught,2,v˜South Africa,Durban,22-Nov-06,ODI # 2447
55,61,48,3,4,114.58,6,caught,2,v˜South Africa,Cape Town,26-Nov-06,ODI # 2449
26,36,21,4,1,123.8,6,caught,2,v˜South Africa,Port Elizabeth,29-Nov-06,ODI # 2452
44,75,49,2,2,89.79,5,caught,1,v˜South Africa,Centurion,03-Dec-06,ODI # 2458
62*,56,42,3,4,147.61,4,not out,1,v˜West Indies,Nagpur,21-Jan-07,ODI # 2480
6,26,19,0,0,31.57,6,caught,1,v˜West Indies,Cuttack,24-Jan-07,ODI # 2485
40*,31,20,1,3,200,5,not out,1,v˜West Indies,Vadodara,31-Jan-07,ODI # 2493
TDNB,-,-,-,-,-,-,-,-,v˜Sri Lanka,Kolkata,08-Feb-07,ODI # 2514
48,95,68,1,0,70.58,6,caught,2,v˜Sri Lanka,Rajkot,11-Feb-07,ODI # 2520
67*,91,74,4,0,90.54,6,not out,2,v˜Sri Lanka,Margao,14-Feb-07,ODI # 2522
DNB,-,-,-,-,-,-,-,2,v˜Sri Lanka,Visakhapatnam,17-Feb-07,ODI # 2525
0,5,3,0,0,0,7,caught,1,v˜Bangladesh,Port of Spain,17-Mar-07,ODI # 2538
29,34,25,2,1,116,4,caught,1,v˜Bermuda,Port of Spain,19-Mar-07,ODI # 2542
0,3,1,0,0,0,7,lbw,2,v˜Sri Lanka,Port of Spain,23-Mar-07,ODI # 2550
91*,182,106,7,0,85.84,3,not out,2,v˜Bangladesh,Dhaka,10-May-07,ODI # 2582
36,73,54,4,0,66.66,3,caught,1,v˜Bangladesh,Dhaka,12-May-07,ODI # 2583
2,13,4,0,0,50,7,run out,1,v˜Africa XI,Bengaluru,06-Jun-07,ODI # 2587
33,56,38,2,2,86.84,4,bowled,1,v˜Africa XI,Chennai,09-Jun-07,ODI # 2588
139*,144,97,15,5,143.29,7,not out,1,v˜Africa XI,Chennai,10-Jun-07,ODI # 2589
0,3,4,0,0,0,5,bowled,2,v˜South Africa,Belfast,29-Jun-07,ODI # 2593
14*,27,11,2,0,127.27,6,not out,2,v˜South Africa,Belfast,01-Jul-07,ODI # 2595
DNB,-,-,-,-,-,-,-,2,v˜Scotland,Glasgow,16-Aug-07,ODI # 2608
