Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
122*,201,135,8,2,90.37,2,not out,1,vÿWest Indies,Auckland,10-Jan-09,ODI # 2789
43,60,39,4,1,110.25,3,caught,2,vÿWest Indies,Napier,13-Jan-09,ODI # 2792
13,47,33,1,1,39.39,2,bowled,2,vÿAustralia,Perth,01-Feb-09,ODI # 2811
8,17,14,1,0,57.14,2,caught,2,vÿAustralia,Melbourne,06-Feb-09,ODI # 2816
6,17,16,1,0,37.5,1,caught,2,vÿAustralia,Sydney,08-Feb-09,ODI # 2817
45,70,70,4,1,64.28,2,caught,1,vÿAustralia,Adelaide,10-Feb-09,ODI # 2819
64*,82,34,5,3,188.23,2,not out,2,vÿAustralia,Brisbane,13-Feb-09,ODI # 2820
64,90,70,5,0,91.42,3,caught,2,vÿIndia,Napier,03-Mar-09,ODI # 2821
TDNB,-,-,-,-,-,-,-,-,vÿIndia,Wellington,06-Mar-09,ODI # 2822
1,3,4,0,0,25,4,lbw,2,vÿIndia,Christchurch,08-Mar-09,ODI # 2823
25,55,49,0,0,51.02,4,caught,1,vÿIndia,Hamilton,11-Mar-09,ODI # 2824
57*,97,50,7,2,114,3,not out,2,vÿIndia,Auckland,14-Mar-09,ODI # 2825
3,11,13,0,0,23.07,3,caught,2,vÿSri Lanka,Colombo (RPS),08-Sep-09,ODI # 2884
22,66,42,3,0,52.38,3,caught,1,vÿIndia,Colombo (RPS),11-Sep-09,ODI # 2886
21,39,26,4,0,80.76,3,caught,1,vÿSouth Africa,Centurion,24-Sep-09,ODI # 2895
66,126,76,3,1,86.84,3,bowled,1,vÿSri Lanka,Johannesburg,27-Sep-09,ODI # 2899
53,89,55,7,1,96.36,2,caught,2,vÿEngland,Johannesburg,29-Sep-09,ODI # 2902
11,22,10,1,1,110,3,caught,2,vÿPakistan,Johannesburg,03-Oct-09,ODI # 2906
40,84,64,3,0,62.5,3,caught,1,vÿAustralia,Centurion,05-Oct-09,ODI # 2907
4,4,9,0,0,44.44,3,bowled,2,vÿPakistan,Abu Dhabi,03-Nov-09,ODI # 2921
62,82,70,5,2,88.57,3,caught,1,vÿPakistan,Abu Dhabi,06-Nov-09,ODI # 2924
8,23,21,0,0,38.09,3,caught,1,vÿPakistan,Abu Dhabi,09-Nov-09,ODI # 2927
2,15,8,0,0,25,3,caught,1,vÿBangladesh,Napier,05-Feb-10,ODI # 2949
32,33,29,4,1,110.34,3,bowled,2,vÿBangladesh,Dunedin,08-Feb-10,ODI # 2951
