Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
0,-,2,0,0,0,5,caught,2,vÿPakistan,Gujranwala,18-Dec-89,ODI # 593
0,2,2,0,0,0,5,caught,2,vÿNew Zealand,Dunedin,01-Mar-90,ODI # 612
36,51,39,5,0,92.3,6,caught,1,vÿNew Zealand,Wellington,06-Mar-90,ODI # 616
10,-,12,0,0,83.33,5,run out,1,vÿSri Lanka,Sharjah,25-Apr-90,ODI # 623
20,-,25,1,0,80,7,caught,2,vÿPakistan,Sharjah,27-Apr-90,ODI # 625
19,38,35,1,1,54.28,4,bowled,2,vÿEngland,Leeds,18-Jul-90,ODI # 634
31,31,26,3,0,119.23,6,bowled,2,vÿEngland,Nottingham,20-Jul-90,ODI # 635
36,-,22,3,2,163.63,5,bowled,1,vÿSri Lanka,Nagpur,01-Dec-90,ODI # 644
53,-,41,7,1,129.26,5,bowled,2,vÿSri Lanka,Pune,05-Dec-90,ODI # 646
30,-,29,1,2,103.44,5,caught,1,vÿSri Lanka,Margao,08-Dec-90,ODI # 648
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Chandigarh,25-Dec-90,ODI # 657
4,-,11,0,0,36.36,5,lbw,2,vÿSri Lanka,Cuttack,28-Dec-90,ODI # 658
53,-,70,2,0,75.71,4,lbw,2,vÿSri Lanka,Kolkata,04-Jan-91,ODI # 661
52*,-,40,5,0,130,5,not out,1,vÿPakistan,Sharjah,18-Oct-91,ODI # 680
22,-,27,3,0,81.48,5,run out,1,vÿWest Indies,Sharjah,19-Oct-91,ODI # 681
11*,-,27,1,0,40.74,5,not out,2,vÿWest Indies,Sharjah,22-Oct-91,ODI # 683
49,-,38,3,2,128.94,5,caught,2,vÿPakistan,Sharjah,23-Oct-91,ODI # 684
0,-,1,0,0,0,5,lbw,2,vÿPakistan,Sharjah,25-Oct-91,ODI # 685
62,-,73,8,1,84.93,4,caught,2,vÿSouth Africa,Kolkata,10-Nov-91,ODI # 686
4,-,8,0,0,50,4,caught,1,vÿSouth Africa,Gwalior,12-Nov-91,ODI # 687
1,-,3,0,0,33.33,4,caught,1,vÿSouth Africa,New Delhi,14-Nov-91,ODI # 688
1,14,9,0,0,11.11,4,caught,1,vÿWest Indies,Perth,06-Dec-91,ODI # 692
36,79,65,3,0,55.38,4,caught,1,vÿAustralia,Perth,08-Dec-91,ODI # 693
57,111,107,3,0,53.27,4,caught,1,vÿAustralia,Hobart,10-Dec-91,ODI # 694
48,62,57,2,0,84.21,4,caught,1,vÿWest Indies,Adelaide,14-Dec-91,ODI # 696
21,38,35,3,0,60,4,caught,1,vÿAustralia,Adelaide,15-Dec-91,ODI # 697
77,157,127,5,0,60.62,4,caught,1,vÿWest Indies,Brisbane,11-Jan-92,ODI # 702
31,64,44,1,0,70.45,5,run out,1,vÿAustralia,Sydney,14-Jan-92,ODI # 705
57*,118,88,2,0,64.77,4,not out,2,vÿWest Indies,Melbourne,16-Jan-92,ODI # 707
4,12,10,0,0,40,4,caught,2,vÿAustralia,Melbourne,18-Jan-92,ODI # 709
69,116,100,3,0,69,4,caught,2,vÿAustralia,Sydney,20-Jan-92,ODI # 711
35,51,44,5,0,79.54,4,caught,2,vÿEngland,Perth,22-Feb-92,ODI # 715
DNB,-,-,-,-,-,-,-,1,vÿSri Lanka,Mackay,28-Feb-92,ODI # 722
11,19,19,1,0,57.89,4,caught,2,vÿAustralia,Brisbane,01-Mar-92,ODI # 725
54*,91,62,3,0,87.09,5,not out,1,vÿPakistan,Sydney,04-Mar-92,ODI # 729
81,88,77,8,1,105.19,4,caught,1,vÿZimbabwe,Hamilton,07-Mar-92,ODI # 732
4,11,11,0,0,36.36,4,caught,1,vÿWest Indies,Wellington,10-Mar-92,ODI # 737
84,122,107,6,0,78.5,4,caught,1,vÿNew Zealand,Dunedin,12-Mar-92,ODI # 740
14,14,14,1,0,100,4,caught,1,vÿSouth Africa,Adelaide,15-Mar-92,ODI # 745
39,92,56,7,0,69.64,4,caught,1,vÿZimbabwe,Harare,25-Oct-92,ODI # 764
15,-,27,1,0,55.55,4,bowled,1,vÿSouth Africa,Cape Town,07-Dec-92,ODI # 770
10,-,36,0,0,27.77,4,caught,1,vÿSouth Africa,Port Elizabeth,09-Dec-92,ODI # 772
22,-,24,2,0,91.66,5,caught,2,vÿSouth Africa,Centurion,11-Dec-92,ODI # 774
21,-,44,1,0,47.72,5,caught,1,vÿSouth Africa,Johannesburg,13-Dec-92,ODI # 779
32,-,52,1,0,61.53,5,bowled,1,vÿSouth Africa,Bloemfontein,15-Dec-92,ODI # 781
23,-,39,0,0,58.97,5,caught,2,vÿSouth Africa,Durban,17-Dec-92,ODI # 783
21,-,38,3,0,55.26,3,caught,2,vÿSouth Africa,East London,19-Dec-92,ODI # 784
82*,116,81,6,1,101.23,5,not out,1,vÿEngland,Jaipur,18-Jan-93,ODI # 794
1,9,5,0,0,20,5,lbw,2,vÿEngland,Chandigarh,21-Jan-93,ODI # 795
3,7,6,0,0,50,4,caught,2,vÿEngland,Bengaluru,26-Feb-93,ODI # 809
24,42,32,1,0,75,4,bowled,1,vÿEngland,Jamshedpur,01-Mar-93,ODI # 811
5,7,6,1,0,83.33,5,bowled,2,vÿEngland,Gwalior,04-Mar-93,ODI # 813
34,42,30,2,1,113.33,5,caught,2,vÿEngland,Gwalior,05-Mar-93,ODI # 814
3,16,9,0,0,33.33,5,caught,1,vÿZimbabwe,Faridabad,19-Mar-93,ODI # 817
8*,8,6,0,0,133.33,5,not out,2,vÿZimbabwe,Guwahati,22-Mar-93,ODI # 820
DNB,-,-,-,-,-,-,-,2,vÿZimbabwe,Pune,25-Mar-93,ODI # 823
21,-,39,1,0,53.84,5,caught,1,vÿSri Lanka,Colombo (RPS),25-Jul-93,ODI # 833
15,-,30,0,0,50,5,run out,2,vÿSri Lanka,Colombo (RPS),12-Aug-93,ODI # 834
25,-,39,1,0,64.1,5,caught,1,vÿSri Lanka,Moratuwa,14-Aug-93,ODI # 835
26*,-,30,4,0,86.66,5,not out,2,vÿSri Lanka,Kanpur,07-Nov-93,ODI # 846
2,-,8,0,0,25,5,lbw,2,vÿWest Indies,Ahmedabad,16-Nov-93,ODI # 851
24,22,16,1,1,150,6,caught,1,vÿZimbabwe,Indore,18-Nov-93,ODI # 852
3,-,25,0,0,12,4,caught,1,vÿSouth Africa,Mohali,22-Nov-93,ODI # 855
15,-,31,3,0,48.38,5,caught,1,vÿSouth Africa,Kolkata,24-Nov-93,ODI # 856
28*,-,43,2,0,65.11,5,not out,1,vÿWest Indies,Kolkata,27-Nov-93,ODI # 858
1,10,5,0,0,20,5,caught,1,vÿSri Lanka,Rajkot,15-Feb-94,ODI # 879
11*,25,18,0,0,61.11,5,not out,2,vÿSri Lanka,Hyderabad (Deccan),18-Feb-94,ODI # 881
52,83,63,3,0,82.53,5,run out,1,vÿSri Lanka,Jalandhar,20-Feb-94,ODI # 883
15,22,19,1,0,78.94,5,caught,2,vÿNew Zealand,Napier,25-Mar-94,ODI # 896
82,69,49,15,2,167.34,2,caught,2,vÿNew Zealand,Auckland,27-Mar-94,ODI # 897
63,91,75,9,0,84,2,lbw,1,vÿNew Zealand,Wellington,30-Mar-94,ODI # 898
40,34,26,8,0,153.84,2,bowled,1,vÿNew Zealand,Christchurch,02-Apr-94,ODI # 899
63,125,77,7,1,81.81,2,caught,1,vÿU.A.E.,Sharjah,13-Apr-94,ODI # 904
73,96,64,10,3,114.06,2,caught,1,vÿPakistan,Sharjah,15-Apr-94,ODI # 906
6,12,7,1,0,85.71,2,caught,2,vÿAustralia,Sharjah,19-Apr-94,ODI # 910
24,59,26,4,0,92.3,2,caught,2,vÿPakistan,Sharjah,22-Apr-94,ODI # 912
11*,-,16,2,0,68.75,2,not out,1,vÿSri Lanka,Colombo (RPS),04-Sep-94,ODI # 921
6,13,5,0,0,120,2,caught,1,vÿSri Lanka,Colombo (RPS),05-Sep-94,ODI # 922
110,186,130,8,2,84.61,2,bowled,1,vÿAustralia,Colombo (RPS),09-Sep-94,ODI # 924
0,6,2,0,0,0,2,caught,2,vÿSri Lanka,Colombo (SSC),17-Sep-94,ODI # 927
0,3,4,0,0,0,2,caught,2,vÿWest Indies,Faridabad,17-Oct-94,ODI # 931
0,7,4,0,0,0,2,caught,2,vÿWest Indies,Mumbai,20-Oct-94,ODI # 933
8,28,24,0,0,33.33,3,caught,2,vÿWest Indies,Chennai,23-Oct-94,ODI # 936
115,184,136,9,3,84.55,2,run out,2,vÿNew Zealand,Vadodara,28-Oct-94,ODI # 939
34,53,47,7,0,72.34,2,bowled,2,vÿWest Indies,Kanpur,30-Oct-94,ODI # 941
62,80,54,13,0,114.81,2,bowled,1,vÿNew Zealand,Delhi,03-Nov-94,ODI # 944
66,101,68,8,0,97.05,2,caught,1,vÿWest Indies,Kolkata,05-Nov-94,ODI # 947
54,130,64,5,0,84.37,2,caught,1,vÿWest Indies,Visakhapatnam,07-Nov-94,ODI # 949
88,147,112,10,0,78.57,2,bowled,2,vÿWest Indies,Cuttack,09-Nov-94,ODI # 950
105,180,134,10,0,78.35,2,caught,1,vÿWest Indies,Jaipur,11-Nov-94,ODI # 951
13,30,15,3,0,86.66,2,caught,1,vÿNew Zealand,Napier,16-Feb-95,ODI # 976
