Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
DNB,-,-,-,-,-,-,-,2,vÿKenya,Nairobi (Gym),03-Oct-00,ODI # 1630
84,121,80,12,0,105,5,caught,1,vÿAustralia,Nairobi (Gym),07-Oct-00,ODI # 1633
41,39,35,6,0,117.14,4,caught,1,vÿSouth Africa,Nairobi (Gym),13-Oct-00,ODI # 1638
18,31,19,2,0,94.73,4,caught,1,vÿNew Zealand,Nairobi (Gym),15-Oct-00,ODI # 1639
7,-,15,0,0,46.66,5,bowled,1,vÿSri Lanka,Sharjah,20-Oct-00,ODI # 1640
34,-,39,1,2,87.17,5,bowled,1,vÿZimbabwe,Sharjah,22-Oct-00,ODI # 1644
4,-,11,0,0,36.36,5,caught,2,vÿZimbabwe,Sharjah,26-Oct-00,ODI # 1648
7,-,17,0,0,41.17,6,caught,2,vÿSri Lanka,Sharjah,27-Oct-00,ODI # 1650
3,-,8,0,0,37.5,3,caught,2,vÿSri Lanka,Sharjah,29-Oct-00,ODI # 1652
11,7,6,2,0,183.33,4,lbw,2,vÿZimbabwe,Cuttack,02-Dec-00,ODI # 1656
17,23,16,1,1,106.25,4,caught,1,vÿZimbabwe,Ahmedabad,05-Dec-00,ODI # 1657
5,13,16,0,0,31.25,4,caught,1,vÿZimbabwe,Jodhpur,08-Dec-00,ODI # 1658
29,31,23,5,0,126.08,5,lbw,1,vÿZimbabwe,Rajkot,14-Dec-00,ODI # 1660
19,22,21,2,0,90.47,6,run out,1,vÿAustralia,Margao,06-Apr-01,ODI # 1701
6,16,15,1,0,40,1,lbw,2,vÿNew Zealand,Colombo (RPS),20-Jul-01,ODI # 1736
12,25,17,2,0,70.58,2,caught,2,vÿSri Lanka,Colombo (RPS),22-Jul-01,ODI # 1737
28,50,51,3,0,54.9,6,caught,2,vÿNew Zealand,Colombo (RPS),26-Jul-01,ODI # 1739
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Colombo (RPS),28-Jul-01,ODI # 1740
98*,143,110,6,1,89.09,6,not out,1,vÿSri Lanka,Colombo (SSC),01-Aug-01,ODI # 1742
DNB,-,-,-,-,-,-,-,2,vÿNew Zealand,Colombo (SSC),02-Aug-01,ODI # 1743
6,10,6,1,0,100,6,bowled,2,vÿSri Lanka,Colombo (RPS),05-Aug-01,ODI # 1744
14,27,18,2,0,77.77,4,caught,1,vÿSouth Africa,Johannesburg,05-Oct-01,ODI # 1752
42,79,55,4,1,76.36,5,bowled,1,vÿSouth Africa,Centurion,10-Oct-01,ODI # 1757
DNB,-,-,-,-,-,-,-,2,vÿKenya,Bloemfontein,12-Oct-01,ODI # 1758
0,1,1,0,0,0,5,bowled,2,vÿKenya,Port Elizabeth,17-Oct-01,ODI # 1761
